	
%.2fx	%.2fx
%@	%@
%@ %@	%1$@ %2$@
%@ %@ (%@)	%1$@ %2$@ (%3$@)
%@ Automatically created	%@ Automatically created
%@ Episodes	%@ Episodes
%@ New Episodes	%@ New Episodes
%@ Settings	%@ Settings
%@ Unplayed	%@ Unplayed
%@ Unplayed Episodes	%@ Unplayed Episodes
%@ episodes	%@ episodes
%@ episodes in the feed	%@ episodes in the feed
%@ in Apple Podcasts	%@ in Apple Podcasts
%@ in Library	%@ in Library
%@ is not available	%@ is not available
%@ left	%@ left
%@ new episodes	%@ new episodes
%@ of %@	%1$@ of %2$@
%@ podcasts	%@ podcasts
%@ remaining	%@ remaining
%@ saved episodes	%@ saved episodes
%@ stations	%@ stations
%@ unplayed	%@ unplayed
%@ unplayed episodes	%@ unplayed episodes
AUTO_DOWNLOAD_VIDEO_TOGGLE	Automatically Download Video
AVAILABLE_EPISODES	Available Episodes
AVAILABLE_WITHOUT_SUBSCRIPTION	Available without Subscription
AVAILABLE_WITH_SUBSCRIPTION	Available with Subscription
AX_ACCOUNT_SETTINGS_BUTTON	Account Settings
AX_CLOSE_BUTTON	Close
AX_CONTEXT_MENU_BUTTON_LABEL	More
AX_DOWNLOADED_BUTTON	Downloaded
AX_DOWNLOADING_BUTTON	Downloading
AX_DOWNLOAD_BUTTON	Download
AX_EPISODE_CAPTION_VIDEO_ICON	Video
AX_FOLLOW_BUTTON_LABEL	Follow
AX_JUMP_BACKWARD	Rewind
AX_JUMP_FORWARD	Skip
AX_MAXIMUM_VOLUME_BUTTON	Full Volume
AX_MUTE_BUTTON	Mute
AX_NEXT_PAGE_BUTTON	Next page
AX_PAUSE	Pause
AX_PLAY	Play
AX_PLAY_BUTTON_OPEN	Open
AX_PLAY_BUTTON_PAUSE	Pause
AX_PLAY_BUTTON_PLAY	Play
AX_PLAY_BUTTON_PLAYING	Playing
AX_PLAY_BUTTON_PLAYING_REMAINING_TIME	Playing, Remaining Time:
AX_PLAY_BUTTON_PLAYING_REMAINING_TIME_HOURS_MINUTES	{"hours": {"one": "Playing, Remaining Time: %d hour", "other": "Playing, Remaining Time: %d hours", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "minutes": {"one": "%d minute", "other": "%d minutes", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%1$#@hours@, %2$#@minutes@"}
AX_PLAY_BUTTON_PLAYING_REMAINING_TIME_MINUTES	{"value": {"one": "Playing, Remaining Time: %d Minute", "other": "Playing, Remaining Time: %d Minutes", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%#@value@"}
